Data dictionary for HEAD-NECK-RADIOMICS-HN1 Clinical data		
Field	Range	Description
id	"characters : ""HN1[0-9][0-9][0-0]"""	This is a collection identifier number pertaining to a human subject in this dataset.
tumor_locatie	categorical factor of 2 levels	"Location of the primary tumour, either larynx or orofarynx."
leeftijd_diagnose	numerical	The age of the subject at the time of diagnosis (date of diagnosis minus date of birth) in units of years.
geslacht	categorical factor of 2 levels	"The biological sex independent of stated gender, of the research subject, either man or vrouw."
ecog_status	categorical factor of 6 levels	"The performance status according to the WHO/ECOG scale, allowed range in integers from 0-5 inclusive. Missing values are possible."
totaal_hpv_p16_status	categorical factor of 2 levels	"The presence (""positief"") or absence (""negatief"") of the tumour suppressor protein p16 used as a diagnostic marker for Human Papilloma Virus-related oropharyngeal cancer, according INK4A staining. Missing values are possible, implying test not done or test result not known."
t_stad	categorical factor of 4 levels	Clinical T staging of the disease according to the AJCC 7th Edition. Allowed values are 1-4.
n_stad	categorical factor of 4 levels	Clinical N staging of the disease according to the AJCC 7th Edition. Allowed values are 0-3.
m_stad	categorical factor of 2 levels	Clinical M staging of the disease according to the AJCC 7th Edition. Allowed values are 0 or 1.
event_overall_survival	categorical factor of 2 levels	"Binary variable denoting if the subject was alive and thus censored in survival analysis (""0"") or deceased (""1"")."
overall_survival_in_days	numerical	"The interval between the first fraction of radiotherapy to either the date of last audit if alive, or date of death if deceased, as integer number in units of days."
